Employee_No,Employee_Code,Name,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,Basic Salary_0
624,4863,Justina Tillman,Male,1,Single,108,2019-09-15,0000-00-00,Active,0000-00-00,624,Staff,Contarct Basis,Buddhist,QAQC Engineer,1992,50000.0
625,3950,Mr Giovani Schimmel,Male,1,Married,6,2018-06-02,2021-02-12,Inactive,2021-02-12,625,Staff,Contarct Basis,Buddhist,Project Manager,1965,75840.0
626,4864,Ricardo Fadel,Female,1,Single,48,2019-08-26,2021-10-25,Inactive,2021-10-25,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1993,25000.0
627,4865,Anita Sporer IV,Male,1,Single,22,2019-09-02,0000-00-00,Active,0000-00-00,1964,Staff,Contarct Basis,Buddhist,Technical Officer,1990,26000.0
628,4867,Clifton Kerluke,Male,1,Married,6,2019-09-12,2022-02-28,Inactive,2022-02-28,\N,Staff,Contarct Basis,Buddhist,Project Manager,1981,85000.0
629,4868,Prof Newell Ondricka V,Male,1,Single,48,2019-09-16,2022-04-30,Inactive,2022-04-30,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1993,25000.0
630,4869,John Halvorson,Male,1,Single,27,2019-08-22,2021-04-30,Inactive,2021-04-30,\N,Staff,Contarct Basis,Buddhist,Supervisor,1989,15010.083333333336
631,4427,Khalid Lockman I,Male,1,Single,33,2018-12-26,0000-00-00,Inactive,2020-10-31,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1992,61040.5
633,4815,Opal Yundt,Male,1,Married,33,2019-07-08,0000-00-00,Inactive,2020-08-30,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1990,49366.5
634,4871,Garrison Steuber,Male,1,Married,64,2019-09-01,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Buddhist,Safety Officer,1971,25000.0
635,4873,Laurianne Adams,Male,3,Single,27,2019-09-16,0000-00-00,Inactive,2020-11-30,\N,Staff,Contarct Basis,Hindu,Supervisor,1996,19928.5
636,4876,Mr Cooper Hills,Male,3,Single,36,2019-09-16,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Hindu,Engineer Assistant,1994,25000.0
638,4883,Prof Alfreda Mills Jr,Male,1,Married,22,2019-09-26,0000-00-00,Inactive,2020-09-17,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1989,27167.0
639,4884,Jeramie Simonis,Male,3,Single,22,2019-10-14,2022-10-10,Inactive,2022-10-10,\N,Staff,Contarct Basis,Hindu,Technical Officer,1989,30000.0
640,4885,Oral Marks,Male,1,Married,8,2019-09-26,0000-00-00,Inactive,2020-06-30,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1966,42600.5
641,4887,Jaime Paucek,Male,1,Married,22,2019-10-01,0000-00-00,Inactive,2020-07-31,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1987,27990.25
642,4893,Ashlynn Balistreri,Male,3,Married,7,2019-10-10,2021-04-30,Inactive,2021-04-30,\N,Staff,Contarct Basis,Hindu,Store Keeper,1952,24932.5
643,4894,Ima Jast,Male,3,Married,22,2019-06-29,0000-00-00,Inactive,2020-10-15,\N,Staff,Contarct Basis,Hindu,Technical Officer,1985,30570.5
644,4897,Prof Nannie Cole,Male,1,Single,8,2019-10-21,2022-05-14,Inactive,2022-05-14,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1996,20000.0
645,4903,Dedric Steuber,Male,3,Single,33,2019-10-28,2022-01-23,Inactive,2022-01-23,\N,Staff,Contarct Basis,Hindu,Site Engineer,1987,100000.0
646,4909,Hollie Rath,Male,3,Married,36,2019-11-06,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Hindu,Engineer Assistant,1987,30000.0
649,4914,Nolan Cronin Jr,Male,4,Married,6,2019-11-18,0000-00-00,Inactive,2020-11-17,649,Staff,Contarct Basis,Catholic,Project Manager,1971,83860.0
650,4916,Tate Hackett,Male,1,Married,64,2019-11-19,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Buddhist,Safety Officer,1968,30000.0
651,4918,Wayne Hartmann,Male,3,Married,6,2019-11-20,0000-00-00,Inactive,2020-11-20,651,Staff,Contarct Basis,Hindu,Project Manager,1969,83660.0
652,4919,Oma McGlynn,Male,3,Married,33,2019-11-20,0000-00-00,Inactive,2020-10-10,\N,Staff,Contarct Basis,Hindu,Site Engineer,1987,64340.0
653,4920,Aleen Kub IV,Male,1,Married,7,2019-11-25,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1976,24500.0
654,4922,Rogelio Wyman,Male,1,Married,64,2019-11-20,0000-00-00,Inactive,2020-07-31,\N,Staff,Contarct Basis,Buddhist,Safety Officer,1969,34035.0
655,4923,Bernardo Roberts,Male,1,Single,54,2019-11-22,0000-00-00,Inactive,2020-03-14,\N,Staff,Contarct Basis,Buddhist,Lab Technician,1981,36685.0
656,4924,Jayde Gaylord DDS,Male,1,Married,35,2019-11-25,2021-09-07,Inactive,2021-09-07,\N,Staff,Contarct Basis,Buddhist,Operator-Excavator,1992,18000.0
658,4928,Clarabelle Smitham,Male,1,Married,8,2019-12-02,0000-00-00,Inactive,2020-09-30,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1988,38398.0
659,326,Missouri Satterfield,Male,3,Married,8,2005-11-28,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Hindu,Quantity Surveyor,1981,36600.0
660,4420,Mikel Rutherford,Male,1,Married,102,2018-12-01,0000-00-00,Inactive,2020-08-22,\N,Staff,Contarct Basis,Buddhist,Tractor Driver,1978,20228.0
662,4692,Bettie Rowe,Male,1,Single,39,2019-01-04,2021-08-31,Inactive,2021-08-31,\N,Staff,Contarct Basis,Buddhist,Site Engineer-Trainee,1993,23500.0
663,4720,Sarina Christiansen,Male,1,Single,7,2019-05-02,0000-00-00,Inactive,2020-07-21,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1993,19839.0
664,4820,Dr Jazmyne Farrell MD,Male,1,Married,8,2019-07-15,0000-00-00,Active,0000-00-00,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1988,35000.0
665,3957,Toy Toy,Male,1,Single,7,2018-06-18,0000-00-00,Inactive,2020-08-30,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1994,21020.75
666,4345,Annamarie Cartwright,Male,1,Married,80,2018-10-17,0000-00-00,Inactive,2020-02-29,\N,Staff,Contarct Basis,Buddhist,Driver - cab,1985,44110.0
667,4768,Stanley Zulauf,Male,1,Married,6,2019-06-03,2021-10-21,Inactive,2021-10-21,\N,Staff,Contarct Basis,Buddhist,Project Manager,1983,80000.0
668,2971,Hobart Stracke,Male,1,Single,36,2017-03-20,2021-08-08,Inactive,2021-08-08,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1986,32000.0
670,4858,Mrs Shanna Pagac,Male,1,Married,22,2019-09-12,0000-00-00,Inactive,2020-09-28,\N,Staff,Contarct Basis,Buddhist,Technical Officer,1987,23524.25
671,4688,Karen Sipes,Male,3,Single,6,2019-05-15,0000-00-00,Inactive,2021-08-12,\N,Staff,Contarct Basis,Hindu,Project Manager,1991,80000.0
672,4907,Dr Megane Stoltenberg,Male,5,Married,24,2019-11-01,0000-00-00,Inactive,2020-07-06,\N,Staff,Contarct Basis,Muslim,Driver,1976,23510.66666666667
673,4915,Thurman Greenfelder,Male,5,Married,73,2019-11-18,0000-00-00,Active,0000-00-00,673,Staff,Contarct Basis,Muslim,Resident Engineer,1978,100000.0
674,2776,Lionel Hettinger,Male,1,Married,48,2016-11-29,0000-00-00,Inactive,2020-09-30,\N,Staff,Contarct Basis,Buddhist,Draughtsman,1987,33096.0
675,3620,Elian Oberbrunner,Male,1,Married,37,2017-12-16,0000-00-00,Inactive,2020-09-15,\N,Staff,Contarct Basis,Buddhist,Driver-Tractor,1980,37485.0
676,4708,Loraine Schmeler,Male,1,Single,31,2019-04-22,0000-00-00,Inactive,2020-04-30,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958,14153.764285714286
677,3930,Manuel Rau,Male,1,Married,55,2019-01-01,2021-06-30,Inactive,2021-06-30,\N,Labour,Contarct Basis,Buddhist,Fitter,1976,11275.0
678,3933,Prof Barney Carroll Sr,Male,1,Single,31,2019-01-01,2020-12-28,Inactive,2020-12-28,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1993,1000.0
680,4510,Prof Rowena Skiles,Male,1,Married,31,2019-01-01,2020-12-31,Inactive,2020-12-31,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1971,2500.0
682,169036,Oleta Schroeder,Male,1,Married,31,2020-12-06,2021-05-31,Inactive,2021-05-31,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1955,3500.0
683,4516,America Haley,Male,1,Married,55,2019-01-01,2020-12-31,Inactive,2020-12-31,\N,Labour,Contarct Basis,Buddhist,Fitter,1991,12650.0
